lon,lat,dist_costa_km,r_droga,r_pesca,r_poluicao,r_imigracao,ais_embarcacoes,ais_rotas
-10.8,38.550000000000026,114.4362551543826,0.14117,0.12751,0.07012,0.00091,0.0864,0.81394
-10.8,38.65000000000003,113.47060202180572,0.12439,0.17614,0.07777,0.00076,0.09296,0.81503
-10.8,38.75000000000003,113.57830225066361,0.1086,0.19807,0.08256,0.00061,0.09626,0.81309
-10.8,38.85000000000003,114.75633381480604,0.09387,0.18111,0.08171,0.00047,0.09688,0.81029
-10.8,38.95000000000003,116.97236318296416,0.0803,0.13602,0.077,0.00036,0.09678,0.80802
-10.8,39.05000000000003,120.16897909244048,0.06796,0.088,0.0744,0.00026,0.09782,0.80682
-10.8,39.150000000000034,124.27053356750129,0.05693,0.05489,0.07566,0.00019,0.09994,0.80665
-10.8,39.250000000000036,129.15958911325777,0.04725,0.03753,0.07685,0.00013,0.10086,0.80727
-10.8,39.35000000000004,133.99978700650956,0.03891,0.02891,0.07524,8e-05,0.09888,0.80867
-10.8,39.45000000000004,138.58235868043985,0.03184,0.02412,0.07302,5e-05,0.09491,0.81117
-10.8,39.55000000000004,143.1649303543698,0.02593,0.02276,0.07164,3e-05,0.09066,0.81489
-10.8,39.65000000000004,147.74750202830012,0.02105,0.02691,0.0692,2e-05,0.08712,0.81943
-10.8,39.75000000000004,152.33007370223004,0.01705,0.03699,0.06625,1e-05,0.08532,0.82432
-10.8,39.850000000000044,156.91264537616038,0.01379,0.0484,0.06543,1e-05,0.08576,0.82958
-10.8,39.950000000000045,161.4952170500903,0.01113,0.05382,0.06745,0.0,0.08745,0.83567
-10.8,40.05000000000005,164.7441837289166,0.00897,0.04927,0.0726,0.0,0.08949,0.84284
-10.8,40.15000000000005,165.83211701769244,0.00721,0.03721,0.07963,0.0,0.09225,0.8507
-10.8,40.25000000000005,166.9200503064684,0.0058,0.02432,0.08597,0.0,0.09599,0.85836
-10.8,40.35000000000005,168.10167970660203,0.00466,0.01603,0.09016,0.0,0.09947,0.8649
-10.8,40.45000000000005,169.88810329368587,0.00377,0.0148,0.09113,0.0,0.10119,0.86982
-10.8,40.550000000000054,171.87136711246296,0.00306,0.02343,0.08936,0.0,0.10107,0.87321
-10.8,40.650000000000055,173.8546309312402,0.00252,0.0464,0.08592,0.0,0.09963,0.87543
-10.8,40.75000000000006,175.83789475001728,0.0021,0.08429,0.07954,0.0,0.09679,0.87637
-10.8,40.85000000000006,177.82115856879454,0.00177,0.12597,0.0713,0.0,0.09257,0.87561
-10.8,40.95000000000006,179.56896408954873,0.00152,0.14968,0.06507,0.0,0.08795,0.87309
-10.8,41.05000000000006,178.24574684939716,0.0013,0.13953,0.06209,0.0,0.08436,0.86974
-10.8,41.15000000000006,176.54816830797446,0.00113,0.10332,0.06268,0.0,0.08189,0.86686
-10.8,41.250000000000064,174.91607125549828,0.00097,0.06387,0.06751,0.0,0.07896,0.86511
-10.8,41.350000000000065,173.8644118247858,0.00082,0.03541,0.0731,0.0,0.07476,0.86428
